Employee_Id,Gender,Education Level,Department,Years of Experience,Salary
1,Male,Bachelor's,Software Engineer,5,90000
2,Female,Master's,Data Analyst,3,65000
3,Male,PhD,Senior Manager,15,150000
4,Female,Bachelor's,Sales Associate,7,60000
5,Male,Master's,Director,20,200000
6,Male,Bachelor's,Marketing Analyst,2,55000
7,Female,Master's,Product Manager,12,120000
8,Male,Bachelor's,Sales Manager,4,80000
9,Female,Bachelor's,Marketing Coordinator,1,45000
10,Male,PhD,Senior Scientist,10,110000
11,Male,Master's,Software Developer,3,75000
12,Female,Bachelor's,HR Manager,18,140000
13,Male,Bachelor's,Financial Analyst,6,65000
14,Female,Master's,Project Manager,14,130000
15,Male,Bachelor's,Customer Service Rep,2,40000
16,Male,Bachelor's,Operations Manager,16,125000
17,Female,Master's,Marketing Manager,7,90000
18,Male,PhD,Senior Engineer,12,115000
19,Female,Bachelor's,Data Entry Clerk,0,35000
20,Male,Bachelor's,Sales Director,22,180000
21,Female,Master's,Business Analyst,5,80000
22,Male,Master's,VP of Operations,19,190000
23,Male,Bachelor's,IT Support,2,50000
24,Female,Bachelor's,Recruiter,9,60000
25,Male,Master's,Financial Manager,13,140000
26,Female,Bachelor's,Social Media Specialist,3,45000
27,Female,Master's,Software Manager,11,110000
28,Male,Bachelor's,Junior Developer,1,40000
29,Female,PhD,Senior Consultant,15,140000
30,Male,Master's,Product Designer,6,90000
31,Male,Bachelor's,CEO,25,250000
32,Female,Bachelor's,Accountant,4,55000
33,Male,Master's,Data Scientist,3,75000
34,Female,Bachelor's,Marketing Specialist,10,65000
35,Male,PhD,Senior Manager,20,170000
36,Male,Bachelor's,Technical Writer,2,45000
37,Female,Bachelor's,HR Generalist,7,60000
38,Male,Master's,Project Engineer,14,115000
39,Female,Bachelor's,Customer Success Rep,1,40000
40,Male,Bachelor's,Sales Executive,21,160000
